Bengali,Meitei Mayek
তেন্থা,ꯇꯦꯟꯊꯥ
লৌউবগী,ꯂꯧꯎꯕꯒꯤ
চাথোকে,ꯆꯥꯊꯣꯀꯦ
তূম্মী,ꯇꯨꯝꯃꯤ
ঐখোয়সি,ꯑꯩꯈꯣꯌꯁꯤ
মাংবসু,ꯃꯥꯡꯕꯁꯨ
পন্দিত,ꯄꯟꯗꯤꯠ
হিংবগী,ꯍꯤꯡꯕꯒꯤ
শাসিনে,ꯁꯥꯁꯤꯅꯦ
ঙম্মোই,ꯉꯝꯃꯣꯏ
মুত্খি,ꯃꯨꯠꯈꯤ
সিংহগী,ꯁꯤꯡꯍꯒꯤ
থাদবনি,ꯊꯥꯗꯕꯅꯤ
খোন্ফম,ꯈꯣꯟꯐꯝ
ক্রষ্ট,ꯀꯔ꯭ꯁꯇ
নোক্মি,ꯅꯣꯛꯃꯤ
গোন্দি,ꯒꯣꯟꯗꯤ
থৌগৎলি,ꯊꯧꯒꯠꯂꯤ
মশাদসু,ꯃꯁꯥꯗꯁꯨ
গেহুগী,ꯒꯦꯍꯨꯒꯤ
ইসুশীং,ꯏꯁꯨꯁꯤꯡ
য়ৌরেদো,ꯌꯧꯔꯦꯗꯣ
খুত্ফম,ꯈꯨꯠꯐꯝ
লৈজৈয়ে,ꯂꯩꯖꯩꯌꯦ
নুঙ্গৈ,ꯅꯨꯡꯒꯩ
দিফঙ্ক,ꯗꯤꯐꯡꯀ
হেন্না,ꯍꯦꯟꯅꯥ
শাবিয়ু,ꯁꯥꯕꯤꯌꯨ
য়াংলেন,ꯌꯥꯡꯂꯦꯟ
অকিবদু,ꯑꯀꯤꯕꯗꯨ
লেম্না,ꯂꯦꯝꯅꯥ
সনাদগী,ꯁꯅꯥꯗꯒꯤ
অতৈদগী,ꯑꯇꯩꯗꯒꯤ
শাইজিন,ꯁꯥꯏꯖꯤꯟ
সিত্তা,ꯁꯤꯠꯇꯥ
পীবিয়ু,ꯄꯤꯕꯤꯌꯨ
কোন্না,ꯀꯣꯟꯅꯥ
খূঙ্গং,ꯈꯨꯡꯒꯪ
খোংবাল,ꯈꯣꯡꯕꯥꯜ
ত্রঙ্ক,ꯇꯔ꯭ꯡꯀ
পৈশাগী,ꯄꯩꯁꯥꯒꯤ
জাত্রা,ꯖꯥꯇꯔ꯭ꯥ
গুরুবু,ꯒꯨꯔꯨꯕꯨ
ইগদবনি,ꯏꯒꯗꯕꯅꯤ
অকিঅখঙ,ꯑꯀꯤꯑꯈꯡ
লৈহৌরে,ꯂꯩꯍꯧꯔꯦ
শম্জেত,ꯁꯝꯖꯦꯠ
য়াউরোই,ꯌꯥꯎꯔꯣꯏ
সোদিয়ম,ꯁꯣꯗꯤꯌꯝ
ভূত্কী,ꯚꯨꯠꯀꯤ
ভূত্তা,ꯚꯨꯠꯇꯥ
মোবাইল,ꯃꯣꯕꯥꯏꯜ
কিদনেপ,ꯀꯤꯗꯅꯦꯞ
য়েত্কা,ꯌꯦꯠꯀꯥ
এক্সপি,ꯑꯦꯛꯁꯄꯤ
মমাদগী,ꯃꯃꯥꯗꯒꯤ
ক্রাইম,ꯀꯔ꯭ꯥꯏꯝ
কাংথোল,ꯀꯥꯡꯊꯣꯜ
হোংজিন,ꯍꯣꯡꯖꯤꯟ
শাবদগী,ꯁꯥꯕꯗꯒꯤ
সম্মান,ꯁꯝꯃꯥꯟ
লাইফপু,ꯂꯥꯏꯐꯄꯨ
যোধপুর,ꯌꯣꯙꯄꯨꯔ
একাদমি,ꯑꯦꯀꯥꯗꯃꯤ
কল্যান,ꯀꯂꯌ꯭ꯥꯟ
পাচৌরি,ꯄꯥꯆꯧꯔꯤ
খোম্গী,ꯈꯣꯝꯒꯤ
খরচশীং,ꯈꯔꯆꯁꯤꯡ
ওজাশীং,ꯑꯣꯖꯥꯁꯤꯡ
হৌবিয়ু,ꯍꯧꯕꯤꯌꯨ
নেম্মী,ꯅꯦꯝꯃꯤ
লৈরবদি,ꯂꯩꯔꯕꯗꯤ
য়ান্গে,ꯌꯥꯟꯒꯦ
ফিভরগী,ꯐꯤꯚꯔꯒꯤ
লৈবিয়ু,ꯂꯩꯕꯤꯌꯨ
সর্জরি,ꯁꯔꯖꯔꯤ
তথ্যের,ꯇꯊꯌ꯭ꯦꯔ
থোইবগী,ꯊꯣꯏꯕꯒꯤ
উক্রোঙ,ꯎꯀꯔ꯭ꯣꯡ
লোন্না,ꯂꯣꯟꯅꯥ
গ্রাউন,ꯒꯔ꯭ꯥꯎꯟ
খায়্গে,ꯈꯥꯌꯒꯦ
ইথৎশীং,ꯏꯊꯠꯁꯤꯡ
থাজবনি,ꯊꯥꯖꯕꯅꯤ
খঞ্জৈ,ꯈꯟꯖꯩ
নুপিদী,ꯅꯨꯄꯤꯗꯤ
এরেঞ্জ,ꯑꯦꯔꯦꯟꯖ
মঙ্তাক,ꯃꯡꯇꯥꯛ
বেগ্তু,ꯕꯦꯒꯇꯨ
নোজবেগ,ꯅꯣꯖꯕꯦꯒ
ওইগদগে,ꯑꯣꯏꯒꯗꯒꯦ
মীয়াম্,ꯃꯤꯌꯥꯝ
কভেরেজ,ꯀꯚꯦꯔꯦꯖ
য়ুম্কৈ,ꯌꯨꯝꯀꯩ
মাইন্স,ꯃꯥꯏꯟꯁ
খোংজেল,ꯈꯣꯡꯖꯦꯜ
লোদজিং,ꯂꯣꯗꯖꯤꯡ
অহাওসু,ꯑꯍꯥꯑꯣꯁꯨ
ফাউবদু,ꯐꯥꯎꯕꯗꯨ
ষ্টেসন,ꯁꯇ꯭ꯦꯁꯟ
চেঙ্দু,ꯆꯦꯡꯗꯨ
কোইপাই,ꯀꯣꯏꯄꯥꯏ
তাশিন্,ꯇꯥꯁꯤꯟ
মরম্না,ꯃꯔꯝꯅꯥ
স্বায়ম,ꯁꯋ꯭ꯥꯌꯝ
সায়াজি,ꯁꯥꯌꯥꯖꯤ
সুসাইদ,ꯁꯨꯁꯥꯏꯗ
পেম্মা,ꯄꯦꯝꯃꯥ
ইন্থরে,ꯏꯟꯊꯔꯦ
কাথোদি,ꯀꯥꯊꯣꯗꯤ
জেদিইউ,ꯖꯦꯗꯤꯏꯎ
সিদনেট,ꯁꯤꯗꯅꯦꯠ
দিগ্রী,ꯗꯤꯒꯔ꯭ꯤ
নারবসু,ꯅꯥꯔꯕꯁꯨ
খঙ্দদি,ꯈꯡꯗꯗꯤ
লৈররোই,ꯂꯩꯔꯔꯣꯏ
ওইদ্রি,ꯑꯣꯏꯗꯔ꯭ꯤ
হাইবসি,ꯍꯥꯏꯕꯁꯤ
ওইরবদি,ꯑꯣꯏꯔꯕꯗꯤ
এসোল্ট,ꯑꯦꯁꯣꯜꯇ
টিম্না,ꯇꯤꯝꯅꯥ
মপ্রাম,ꯃꯄꯔ꯭ꯥꯝ
ওফিসপু,ꯑꯣꯐꯤꯁꯄꯨ
তৌরিঙৈ,ꯇꯧꯔꯤꯉꯩ
পুল্লৈ,ꯄꯨꯜꯂꯩ
টোরানি,ꯇꯣꯔꯥꯅꯤ
পঙ্কচর,ꯄꯡꯀꯆꯔ
ফুরুরে,ꯐꯨꯔꯨꯔꯦ
অঙাংসি,ꯑꯉꯥꯡꯁꯤ
সন্নথোঙ,ꯁꯟꯅꯊꯣꯡ
থোইরেদো,ꯊꯣꯏꯔꯦꯗꯣ
ৱারিবগে,ꯋꯥꯔꯤꯕꯒꯦ
নির্মান,ꯅꯤꯔꯃꯥꯟ
মেডিসিন,ꯃꯦꯗꯤꯁꯤꯟ
মীওইশিং,ꯃꯤꯑꯣꯏꯁꯤꯡ
নাহল্লি,ꯅꯥꯍꯜꯂꯤ
জাতি্গী,ꯖꯥꯇꯤꯒꯤ
সিটিশিং,ꯁꯤꯇꯤꯁꯤꯡ
ফংলিবগে,ꯐꯪꯂꯤꯕꯒꯦ
পাবোইরে,ꯄꯥꯕꯣꯏꯔꯦ
হল্লেদো,ꯍꯜꯂꯦꯗꯣ
মখোঙ্দু,ꯃꯈꯣꯡꯗꯨ
লাইওংগী,ꯂꯥꯏꯑꯣꯡꯒꯤ
য়ৌরক্পা,ꯌꯧꯔꯛꯄꯥ
তান্ননি,ꯇꯥꯟꯅꯅꯤ
স্পেসিজ,ꯁꯄ꯭ꯦꯁꯤꯖ
লাইৱাদু,ꯂꯥꯏꯋꯥꯗꯨ
অদুদৈদি,ꯑꯗꯨꯗꯩꯗꯤ
চুহল্লি,ꯆꯨꯍꯜꯂꯤ
স্মিয়ার,ꯁꯃ꯭ꯤꯌꯥꯔ
রিস্কপু,ꯔꯤꯁꯀꯄꯨ
পুলিশের,ꯄꯨꯂꯤꯁꯦꯔ
মমাংদদি,ꯃꯃꯥꯡꯗꯗꯤ
লৌফম্সু,ꯂꯧꯐꯝꯁꯨ
কিহল্লি,ꯀꯤꯍꯜꯂꯤ
থোংলিবী,ꯊꯣꯡꯂꯤꯕꯤ
ৱাফম্সি,ꯋꯥꯐꯝꯁꯤ
দ্রোৱিং,ꯗꯔ꯭ꯣꯋꯤꯡ
নুমিৎগী,ꯅꯨꯃꯤꯠꯒꯤ
দিকেদেল,ꯗꯤꯀꯦꯗꯦꯜ
মীহুৎনি,ꯃꯤꯍꯨꯠꯅꯤ
ওক্পিয়ু,ꯑꯣꯛꯄꯤꯌꯨ
হায়বসুু,ꯍꯥꯌꯕꯁꯨꯨ
কম্মর্স,ꯀꯝꯃꯔꯁ
তৌদবদগী,ꯇꯧꯗꯕꯗꯒꯤ
অপীক্পা,ꯑꯄꯤꯛꯄꯥ
পীদবদগী,ꯄꯤꯗꯕꯗꯒꯤ
মচেত্তু,ꯃꯆꯦꯠꯇꯨ
দরখাস্থ,ꯗꯔꯈꯥꯁꯊ
নিংথৌবু,ꯅꯤꯡꯊꯧꯕꯨ
ৱার্ক্স,ꯋꯥꯔꯀꯁ
কদায়্নো,ꯀꯗꯥꯌꯅꯣ
পারাশীং,ꯄꯥꯔꯥꯁꯤꯡ
ধীন্তাং,ꯙꯤꯟꯇꯥꯡ
দিমান্দ,ꯗꯤꯃꯥꯟꯗ
চপাত্তি,ꯆꯄꯥꯠꯇꯤ
থুবোইরে,ꯊꯨꯕꯣꯏꯔꯦ
য়েংখিনি,ꯌꯦꯡꯈꯤꯅꯤ
চৈবোইরে,ꯆꯩꯕꯣꯏꯔꯦ
ষ্টাদিজ,ꯁꯇ꯭ꯥꯗꯤꯖ
দিস্কসন,ꯗꯤꯁꯀꯁꯟ
একাদেমী,ꯑꯦꯀꯥꯗꯦꯃꯤ
ঙান্ফুং,ꯉꯥꯟꯐꯨꯡ
রিস্কনি,ꯔꯤꯁꯀꯅꯤ
হায়দ্রো,ꯍꯥꯌꯗꯔ꯭ꯣ
ৱায়্জগে,ꯋꯥꯌꯖꯒꯦ
নীংবরাও,ꯅꯤꯡꯕꯔꯥꯑꯣ
টাৱরশীং,ꯇꯥꯋꯔꯁꯤꯡ
হন্খ্রে,ꯍꯟꯈꯔ꯭ꯦ
চারিবনো,ꯆꯥꯔꯤꯕꯅꯣ
জেএসিগী,ꯖꯦꯑꯦꯁꯤꯒꯤ
মচাক্তি,ꯃꯆꯥꯛꯇꯤ
শিল্পের,ꯁꯤꯜꯄꯦꯔ
ব্রান্দ,ꯕꯔ꯭ꯥꯟꯗ
জিদিজেল,ꯖꯤꯗꯤꯖꯦꯜ
কলেক্টর,ꯀꯂꯦꯛꯇꯔ
সন্থালি,ꯁꯟꯊꯥꯂꯤ
এদিক্সন,ꯑꯦꯗꯤꯛꯁꯟ
মীংচৎতি,ꯃꯤꯡꯆꯠꯇꯤ
তরেত্না,ꯇꯔꯦꯠꯅꯥ
জিনেটিক,ꯖꯤꯅꯦꯇꯤꯛ
দিজিজগী,ꯗꯤꯖꯤꯖꯒꯤ
লাক্পসি,ꯂꯥꯛꯄꯁꯤ
লেক্কনি,ꯂꯦꯛꯀꯅꯤ
হৌবিরকু,ꯍꯧꯕꯤꯔꯀꯨ
ৱারেংদু,ꯋꯥꯔꯦꯡꯗꯨ
ইংলিশসি,ꯏꯡꯂꯤꯁꯁꯤ
পোত্মাঙ,ꯄꯣꯠꯃꯥꯡ
শন্সোধন,ꯁꯟꯁꯣꯙꯟ
পাখত্না,ꯄꯥꯈꯠꯅꯥ
কোলোনিক,ꯀꯣꯂꯣꯅꯤꯛ
খুদাংগী,ꯈꯨꯗꯥꯡꯒꯤ
ঙৌহল্লু,ꯉꯧꯍꯜꯂꯨ
শক্তিগী,ꯁꯛꯇꯤꯒꯤ
পাইখ্রে,ꯄꯥꯏꯈꯔ꯭ꯦ
তৌবসিনি,ꯇꯧꯕꯁꯤꯅꯤ
কন্দিসদ,ꯀꯟꯗꯤꯁꯗ
থক্নবসি,ꯊꯛꯅꯕꯁꯤ
সাইত্তু,ꯁꯥꯏꯠꯇꯨ
মোংশোঙ্,ꯃꯣꯡꯁꯣꯡ
খোল্লাউ,ꯈꯣꯜꯂꯥꯎ
এন্ত্রি,ꯑꯦꯟꯇꯔ꯭ꯤ
য়াদরেমী,ꯌꯥꯗꯔꯦꯃꯤ
য়ুথক্না,ꯌꯨꯊꯛꯅꯥ
কোন্দোম,ꯀꯣꯟꯗꯣꯝ
বিজ্ঞান,ꯕꯤꯖꯟꯥꯟ
থীংবদসু,ꯊꯤꯡꯕꯗꯁꯨ
অহুম্দু,ꯑꯍꯨꯝꯗꯨ
ফাইন্দর,ꯐꯥꯏꯟꯗꯔ
লৈথরবদি,ꯂꯩꯊꯔꯕꯗꯤ
লাইররবী,ꯂꯥꯏꯔꯔꯕꯤ
থিনিঙাই,ꯊꯤꯅꯤꯉꯥꯏ
গ্রামীন,ꯒꯔ꯭ꯥꯃꯤꯟ
কন্সেসন,ꯀꯟꯁꯦꯁꯟ
মীতৈশিং,ꯃꯤꯇꯩꯁꯤꯡ
বার্তন্,ꯕꯥꯔꯇꯟ
ইবোবীবু,ꯏꯕꯣꯕꯤꯕꯨ
অর্থশীং,ꯑꯔꯊꯁꯤꯡ
তৈগদবনি,ꯇꯩꯒꯗꯕꯅꯤ
নোর্মেল,ꯅꯣꯔꯃꯦꯜ
নুংবাগী,ꯅꯨꯡꯕꯥꯒꯤ
এনালাইজ,ꯑꯦꯅꯥꯂꯥꯏꯖ
ন্বারেপ,ꯅꯋ꯭ꯥꯔꯦꯞ
থোরক্কে,ꯊꯣꯔꯛꯀꯦ
থৌমীশিং,ꯊꯧꯃꯤꯁꯤꯡ
মরূপ্শা,ꯃꯔꯨꯞꯁꯥ
খুন্দাই,ꯈꯨꯟꯗꯥꯏ
ইরেন্না,ꯏꯔꯦꯟꯅꯥ
নখোয়্দা,ꯅꯈꯣꯌꯗꯥ
খুহল্লি,ꯈꯨꯍꯜꯂꯤ
মমাংদসু,ꯃꯃꯥꯡꯗꯁꯨ
কার্পেট,ꯀꯥꯔꯄꯦꯠ
ফখ্রেনে,ꯐꯈꯔ꯭ꯦꯅꯦ
সিংহদগী,ꯁꯤꯡꯍꯗꯒꯤ
সমাজ্দা,ꯁꯃꯥꯖꯗꯥ
তৌরব্রা,ꯇꯧꯔꯕꯔ꯭ꯥ
খূদক্তা,ꯈꯨꯗꯛꯇꯥ
মেরিটেল,ꯃꯦꯔꯤꯇꯦꯜ
ফোর্মেত,ꯐꯣꯔꯃꯦꯠ
পরিংদনি,ꯄꯔꯤꯡꯗꯅꯤ
মেন্টেন,ꯃꯦꯟꯇꯦꯟ
নুংহৱাই,ꯅꯨꯡꯍꯋꯥꯏ
পূম্শুম,ꯄꯨꯝꯁꯨꯝ
এফিলিএট,ꯑꯦꯐꯤꯂꯤꯑꯦꯠ
কয়াবুসু,ꯀꯌꯥꯕꯨꯁꯨ
ফ্লোরিং,ꯐꯂ꯭ꯣꯔꯤꯡ
মপাংশিং,ꯃꯄꯥꯡꯁꯤꯡ
স্তোক্স,ꯁꯇ꯭ꯣꯛꯁ
পুরক্পা,ꯄꯨꯔꯛꯄꯥ
ৱারিবসি,ꯋꯥꯔꯤꯕꯁꯤ
অদুগীসু,ꯑꯗꯨꯒꯤꯁꯨ
স্বিমিং,ꯁꯋ꯭ꯤꯃꯤꯡ
চাগন্দে,ꯆꯥꯒꯟꯗꯦ
অরাংবদু,ꯑꯔꯥꯡꯕꯗꯨ
ফেক্টরস,ꯐꯦꯛꯇꯔꯁ
রিপায়ার,ꯔꯤꯄꯥꯌꯥꯔ
আইওদাইজ,ꯑꯥꯏꯑꯣꯗꯥꯏꯖ
লৌরিবসি,ꯂꯧꯔꯤꯕꯁꯤ
জেরিকেন,ꯖꯦꯔꯤꯀꯦꯟ
ময়ূম্দা,ꯃꯌꯨꯝꯗꯥ
উদ্যামি,ꯎꯗꯌ꯭ꯥꯃꯤ
পুজখ্রো,ꯄꯨꯖꯈꯔ꯭ꯣ
দিস্কোম,ꯗꯤꯁꯀꯣꯝ
পাউখোঙ্,ꯄꯥꯎꯈꯣꯡ
সেন্দাই,ꯁꯦꯟꯗꯥꯏ
চারিবনি,ꯆꯥꯔꯤꯕꯅꯤ
নৈহন্দে,ꯅꯩꯍꯟꯗꯦ
বেরন্দা,ꯕꯦꯔꯟꯗꯥ
ভাইওলেট,ꯚꯥꯏꯑꯣꯂꯦꯠ
খ্ৱাইগী,ꯈꯋ꯭ꯥꯏꯒꯤ
মমীংসিং,ꯃꯃꯤꯡꯁꯤꯡ
শরূক্তা,ꯁꯔꯨꯛꯇꯥ
সেন্সিং,ꯁꯦꯟꯁꯤꯡ
যেংবিযু,ꯌꯦꯡꯕꯤꯌꯨ
লনায়গী,ꯂꯅꯥꯌꯒꯤ
গভর্মেন,ꯒꯚꯔꯃꯦꯟ
ময়াংলেন,ꯃꯌꯥꯡꯂꯦꯟ
স্তার্ত,ꯁꯇ꯭ꯥꯔꯇ
মহাউশীং,ꯃꯍꯥꯎꯁꯤꯡ
ভিক্টিম,ꯚꯤꯛꯇꯤꯝ
মমীত্তু,ꯃꯃꯤꯠꯇꯨ
ওইহল্লি,ꯑꯣꯏꯍꯜꯂꯤ
আর্টেরি,ꯑꯥꯔꯇꯦꯔꯤ
ইংলিশকী,ꯏꯡꯂꯤꯁꯀꯤ
ইল্লিঙৈ,ꯏꯜꯂꯤꯉꯩ
শ্রিমান,ꯁꯔ꯭ꯤꯃꯥꯟ
হুমাংগী,ꯍꯨꯃꯥꯡꯒꯤ
ফ্লদদগী,ꯐꯂ꯭ꯗꯗꯒꯤ
কোন্সাং,ꯀꯣꯟꯁꯥꯡ
ওইরক্খি,ꯑꯣꯏꯔꯛꯈꯤ
শৌহল্লু,ꯁꯧꯍꯜꯂꯨ
ত্রাইবল,ꯇꯔ꯭ꯥꯏꯕꯜ
পোক্সকী,ꯄꯣꯛꯁꯀꯤ
ভাইরসকী,ꯚꯥꯏꯔꯁꯀꯤ
অনাবশীং,ꯑꯅꯥꯕꯁꯤꯡ
পাখত্পা,ꯄꯥꯈꯠꯄꯥ
হাইরক্ই,ꯍꯥꯏꯔꯛꯏ
ফোর্মেল,ꯐꯣꯔꯃꯦꯜ
কপ্পেদো,ꯀꯞꯄꯦꯗꯣ
মনাওশিং,ꯃꯅꯥꯑꯣꯁꯤꯡ
বিজিনেস,ꯕꯤꯖꯤꯅꯦꯁ
ওইরিবনি,ꯑꯣꯏꯔꯤꯕꯅꯤ
লৌবীরগে,ꯂꯧꯕꯤꯔꯒꯦ
বেঙ্কগী,ꯕꯦꯡꯀꯒꯤ
ইন্দিগো,ꯏꯟꯗꯤꯒꯣ
য়েম্পাক,ꯌꯦꯝꯄꯥꯛ
মনুংশীং,ꯃꯅꯨꯡꯁꯤꯡ
ব্রিদিং,ꯕꯔ꯭ꯤꯗꯤꯡ
শূবদুদি,ꯁꯨꯕꯗꯨꯗꯤ
সরভিক্স,ꯁꯔꯚꯤꯛꯁ
সংবিধান,ꯁꯪꯕꯤꯙꯥꯟ
খোয়্জেল,ꯈꯣꯌꯖꯦꯜ
লিদরশিপ,ꯂꯤꯗꯔꯁꯤꯞ
টার্গেগ,ꯇꯥꯔꯒꯦꯒ
অসুম্মক,ꯑꯁꯨꯝꯃꯛ
খঙ্জদবী,ꯈꯡꯖꯗꯕꯤ
নিজরেদো,ꯅꯤꯖꯔꯦꯗꯣ
ইপ্রমাণ,ꯏꯄꯔ꯭ꯃꯥꯟ
রিজন্দা,ꯔꯤꯖꯟꯗꯥ
চংগন্দে,ꯆꯪꯒꯟꯗꯦ
অদোম্দা,ꯑꯗꯣꯝꯗꯥ
এয়রলাইন,ꯑꯦꯌꯔꯂꯥꯏꯟ
স্পেনিস,ꯁꯄ꯭ꯦꯅꯤꯁ
লৈগদবনি,ꯂꯩꯒꯗꯕꯅꯤ
মমীংশীং,ꯃꯃꯤꯡꯁꯤꯡ
কোঞ্জিন,ꯀꯣꯟꯖꯤꯟ
পীরিবনি,ꯄꯤꯔꯤꯕꯅꯤ
রিনুয়েল,ꯔꯤꯅꯨꯌꯦꯜ
হোল্ডিং,ꯍꯣꯜꯗꯤꯡ
থেংখ্রে,ꯊꯦꯡꯈꯔ꯭ꯦ
খোন্জেল,ꯈꯣꯟꯖꯦꯜ
উত্তুবু,ꯎꯠꯇꯨꯕꯨ
বিরিশীং,ꯕꯤꯔꯤꯁꯤꯡ
ষ্ট্রিম,ꯁꯇ꯭ꯔ꯭ꯤꯝ
মচিন্না,ꯃꯆꯤꯟꯅꯥ
প্যাকিং,ꯄꯌ꯭ꯥꯀꯤꯡ
পরিংদগী,ꯄꯔꯤꯡꯗꯒꯤ
স্ত্রেস,ꯁꯇ꯭ꯔ꯭ꯦꯁ
ইনিসিএল,ꯏꯅꯤꯁꯤꯑꯦꯜ
লৌতাংশঙ,ꯂꯧꯇꯥꯡꯁꯡ
অহুম্দং,ꯑꯍꯨꯝꯗꯪ
চেলেঞ্জ,ꯆꯦꯂꯦꯟꯖ
তম্মীগী,ꯇꯝꯃꯤꯒꯤ
থৌদাংসু,ꯊꯧꯗꯥꯡꯁꯨ
মচাদুগী,ꯃꯆꯥꯗꯨꯒꯤ
লুখরাবী,ꯂꯨꯈꯔꯥꯕꯤ
তনান্না,ꯇꯅꯥꯟꯅꯥ
মেনেজরস,ꯃꯦꯅꯦꯖꯔꯁ
মীশীংগী,ꯃꯤꯁꯤꯡꯒꯤ
রোদেন্ট,ꯔꯣꯗꯦꯟꯇ
গ্যেসনি,ꯒꯌ꯭ꯦꯁꯅꯤ
ফোর্সকী,ꯐꯣꯔꯁꯀꯤ
মচিন্দু,ꯃꯆꯤꯟꯗꯨ
হায়ারিং,ꯍꯥꯌꯥꯔꯤꯡ
এজেন্সি,ꯑꯦꯖꯦꯟꯁꯤ
ট্রেনিং,ꯇꯔ꯭ꯦꯅꯤꯡ
এটেক্কী,ꯑꯦꯇꯦꯛꯀꯤ
হিঘেস্ত,ꯍꯤꯘꯦꯁꯇ
ইন্দিয়ন,ꯏꯟꯗꯤꯌꯟ
য়ারব্রা,ꯌꯥꯔꯕꯔ꯭ꯥ
লৈহল্লু,ꯂꯩꯍꯜꯂꯨ
কোবীফুল,ꯀꯣꯕꯤꯐꯨꯜ
ব্রেদকী,ꯕꯔ꯭ꯦꯗꯀꯤ
লংথখ্রে,ꯂꯪꯊꯈꯔ꯭ꯦ
স্তার্চ,ꯁꯇ꯭ꯥꯔꯆ
ময়াম্দু,ꯃꯌꯥꯝꯗꯨ
ব্রাউশর,ꯕꯔ꯭ꯥꯎꯁꯔ
ইসুঅরগী,ꯏꯁꯨꯑꯔꯒꯤ
ফাষ্টর্,ꯐꯥꯁꯇꯔ
মদুম্না,ꯃꯗꯨꯝꯅꯥ
কলেক্সন,ꯀꯂꯦꯛꯁꯟ
লৌশিংদু,ꯂꯧꯁꯤꯡꯗꯨ
ঈপাউশিং,ꯏꯄꯥꯎꯁꯤꯡ
থুংজরগে,ꯊꯨꯡꯖꯔꯒꯦ
এৱার্দি,ꯑꯦꯋꯥꯔꯗꯤ
তেলেফোন,ꯇꯦꯂꯦꯐꯣꯟ
হল্লগনু,ꯍꯜꯂꯒꯅꯨ
তৌরিবদু,ꯇꯧꯔꯤꯕꯗꯨ
কাঙ্খল্,ꯀꯥꯡꯈꯜ
নিংথৌদো,ꯅꯤꯡꯊꯧꯗꯣ
মঙানিদং,ꯃꯉꯥꯅꯤꯗꯪ
লৈফম্না,ꯂꯩꯐꯝꯅꯥ
শামিগুম,ꯁꯥꯃꯤꯒꯨꯝ
ফিভম্না,ꯐꯤꯚꯝꯅꯥ
রিএক্সন,ꯔꯤꯑꯦꯛꯁꯟ
পাম্দগী,ꯄꯥꯝꯗꯒꯤ
পাইদুসু,ꯄꯥꯏꯗꯨꯁꯨ
শুনীংদে,ꯁꯨꯅꯤꯡꯗꯦ
চিংখিবু,ꯆꯤꯡꯈꯤꯕꯨ
মিক্সিং,ꯃꯤꯛꯁꯤꯡ
লাংবগুম,ꯂꯥꯡꯕꯒꯨꯝ
ওইখ্রবী,ꯑꯣꯏꯈꯔ꯭ꯕꯤ
পর্সন্স,ꯄꯔꯁꯟꯁ
খুত্তুম,ꯈꯨꯠꯇꯨꯝ
লাক্এদো,ꯂꯥꯛꯑꯦꯗꯣ
মখোঙ্গা,ꯃꯈꯣꯡꯒꯥ
শোক্তোক,ꯁꯣꯛꯇꯣꯛ
অৱাংবদু,ꯑꯋꯥꯡꯕꯗꯨ
দাইজেসন,ꯗꯥꯏꯖꯦꯁꯟ
মপাল্গী,ꯃꯄꯥꯜꯒꯤ
ফরক্কনি,ꯐꯔꯛꯀꯅꯤ
হুরিকেন,ꯍꯨꯔꯤꯀꯦꯟ
হিথাংফম,ꯍꯤꯊꯥꯡꯐꯝ
ৱায়বসু,ꯋꯥꯌꯕꯁꯨ
রিপিয়ার,ꯔꯤꯄꯤꯌꯥꯔ
ইংলিসনি,ꯏꯡꯂꯤꯁꯅꯤ
অকূপ্পা,ꯑꯀꯨꯞꯄꯥ
মেণ্টেল,ꯃꯦꯟꯇꯦꯜ
ফেলোশিপ,ꯐꯦꯂꯣꯁꯤꯞ
য়েংবীরে,ꯌꯦꯡꯕꯤꯔꯦ
ইন্নগনু,ꯏꯟꯅꯒꯅꯨ
কোলেজগী,ꯀꯣꯂꯦꯖꯒꯤ
হ্যুমেন,ꯍꯌ꯭ꯨꯃꯦꯟ
হৌগদবনি,ꯍꯧꯒꯗꯕꯅꯤ
কোলাজেন,ꯀꯣꯂꯥꯖꯦꯟ
সাংথগনু,ꯁꯥꯡꯊꯒꯅꯨ
ভিল্লেজ,ꯚꯤꯜꯂꯦꯖ
নুমিꯤꯤৎ,ꯅꯨꯃꯤꯤꯤꯠ
খুঃদাখ্,ꯈꯨঃꯗꯥꯈ
ইন্ত্রা,ꯏꯟꯇꯔ꯭ꯥ
তঞ্জাসু,ꯇꯟꯖꯥꯁꯨ
তৌজররোই,ꯇꯧꯖꯔꯔꯣꯏ
তম্মুনে,ꯇꯝꯃꯨꯅꯦ
এসকারিস,ꯑꯦꯁꯀꯥꯔꯤꯁ
হেমোরেজ,ꯍꯦꯃꯣꯔꯦꯖ
নারেংবম,ꯅꯥꯔꯦꯡꯕꯝ
উরোক্তু,ꯎꯔꯣꯛꯇꯨ
মহাসাগর,ꯃꯍꯥꯁꯥꯒꯔ
হোত্নজৈ,ꯍꯣꯠꯅꯖꯩ
টায়রশীং,ꯇꯥꯌꯔꯁꯤꯡ
শাফুদগী,ꯁꯥꯐꯨꯗꯒꯤ
ইখোঙ্না,ꯏꯈꯣꯡꯅꯥ
লৈবসিগী,ꯂꯩꯕꯁꯤꯒꯤ
ঙাওক্কী,ꯉꯥꯑꯣꯛꯀꯤ
টেষ্টিং,ꯇꯦꯁꯇꯤꯡ
উদ্রেদো,ꯎꯗꯔ꯭ꯦꯗꯣ
